0,1,2
a,2349,38
a's,10,4
abhorrent,2,2
abilities,2,2
ability,3,3
able,49,15
abortion,6,5
about,411,87
above,6,2
abrupt,1,1
abruptly,1,1
absence,1,1
absentee,4,2
absolutely,8,8
absorb,1,1
absorbs,1,1
abstract,2,2
abuse,3,2
abused,1,1
academically,1,1
academies,1,1
academy,6,5
accent,2,1
accents,1,1
accept,4,4
acceptable,1,1
acceptance,1,1
accepted,2,2
accepting,1,1
access,2,2
accident,3,3
accidental,2,2
accidentally,2,2
accomplish,2,1
accomplished,1,1
accordance,1,1
according,2,2
account,2,2
accountable,1,1
accounting,6,6
accounts,1,1
accumulated,2,2
accurate,2,1
accurately,1,1
ache,1,1
achievement,3,2
acquainted,1,1
acre,1,1
acres,3,1
across,27,8
act,7,3
acted,1,1
acting,5,3
action,7,4
activate,1,1
active,13,3
actively,1,1
activism,1,1
activist,1,1
activists,1,1
activities,2,1
activity,4,2
actors,1,1
actual,7,7
actually,87,22
ad,2,1
adam,1,1
add,2,2
added,4,4
addict,1,1
addicted,1,1
addicting,1,1
addictions,1,1
addicts,3,3
adding,2,2
addition,2,2
additional,2,2
address,1,1
addressed,1,1
adds,2,1
adequate,5,4
aderal,1,1
adge,1,1
adjacent,1,1
adjoining,1,1
adjust,3,1
adjusted,2,1
adjusting,3,2
adjustment,2,2
adjusts,1,1
administration,1,1
administrative,3,3
administrator,3,3
admire,3,2
admired,2,2
admit,3,3
adolescent,1,1
adopt,1,1
adopted,4,3
adopting,1,1
adoption,4,2
adorable,1,1
adored,1,1
ads,1,1
adult,2,2
adulthood,1,1
adults,7,3
advance,2,2
advantage,4,4
advantages,2,2
adventure,1,1
advertise,2,1
advertisement,1,1
advertisements,2,2
advertising,1,1
advocate,2,2
advocating,1,1
affect,3,2
affected,2,1
affects,4,3
affirmative,1,1
afford,7,5
affordable,1,1
afraid,5,2
africa,4,4
african,1,1
after,77,20
aftermath,1,1
afternoon,6,4
afterward,1,1
afterwards,3,3
again,38,14
against,30,13
age,39,5
aged,1,1
agency,3,3
agents,1,1
ages,1,1
aggravate,1,1
aggravated,1,1
aggravating,2,2
aging,1,1
ago,45,9
agree,7,3
agreed,1,1
agreeing,2,2
agreement,2,2
agricultural,3,3
agriculturally,1,1
ah,21,3
aha,1,1
ahead,10,3
aid,3,1
aids,6,2
aim,1,1
ain't,3,3
air,11,1
airforce,4,1
airline,3,1
airliners,1,1
airlines,2,1
airplane,9,6
airplanes,16,4
airport,9,6
airports,2,1
akron,1,1
alarm,3,2
alaska,2,1
albany,1,1
alcohol,3,3
alcoholics,2,2
alcoholism,1,1
alexander,1,1
algebra,2,2
alien,1,1
alive,1,1
all,498,15
alley,1,1
allow,1,1
allowed,8,6
allows,1,1
almost,30,14
alone,1,1
along,19,6
already,28,21
alright,6,5
also,61,12
alternate,1,1
alternative,6,6
although,12,5
